,brakeID,qbrk,lbrk,hbrk,wbrk,tbrk,rbrk
0,B1,0.4,0.1,0.0425,0.02,0.35,0.025446768935921765
1,B2,0.4,0.14,0.049,0.0175,0.35,0.02459789880592624
2,B3,0.4,0.14,0.0615,0.0175,0.35,0.02799044153040863
3,B4,0.5,0.1,0.038,0.016,0.35,0.030168739090227034
4,B5,0.5,0.1,0.0425,0.02,0.355,0.03152268473867805
5,B6,0.5,0.10400000000000001,0.0375,0.016,0.355,0.03031456638525556
6,B7,0.5,0.11,0.052000000000000005,0.013999999999999999,0.35,0.03261276409309557
7,B8,0.5,0.132,0.042,0.018000000000000002,0.355,0.027594334463887184
8,B9,0.5,0.132,0.049,0.016,0.32,0.03204686336698739
9,B10,0.5,0.132,0.052000000000000005,0.017,0.355,0.028383824608072063
10,B11,0.5,0.14,0.049,0.0175,0.35,0.030466184516815688
11,B12,0.5,0.14,0.0615,0.0175,0.32,0.028172661850760033
12,B13,0.5,0.16399999999999998,0.049,0.018000000000000002,0.355,0.02953294510314911
13,B14,0.5,0.16399999999999998,0.051,0.025,0.355,0.02843394846301224
14,B15,0.5,0.10400000000000001,0.0325,0.016,0.32,0.030510519557557347
15,B16,0.5,0.1135,0.04,0.016,0.35,0.0248555663713364
16,B17,0.5,0.152,0.054000000000000006,0.025,0.35,0.02802709032521907
17,B18,0.52,0.1,0.0425,0.02,0.35,0.027655690762998807
18,B19,0.52,0.132,0.049,0.022000000000000002,0.35,0.02982813316157016
19,B20,0.52,0.14,0.049,0.0175,0.33,0.025005822435354364
20,B21,0.52,0.14,0.0615,0.0175,0.355,0.03220701597664163
21,B22,0.52,0.16399999999999998,0.051,0.025,0.35,0.032033852563182565
22,B23,0.52,0.14,0.042,0.0175,0.35,0.028019685792040654
23,B24,0.52,0.16399999999999998,0.0645,0.028999999999999998,0.355,0.027729187957242125
24,B25,0.52,0.16399999999999998,0.0645,0.025,0.35,0.025016433627950436
25,B26,0.52,0.152,0.054000000000000006,0.027999999999999997,0.355,0.03139459192172951
26,B27,0.63,0.1,0.0425,0.02,0.32,0.027746639203399086
27,B28,0.63,0.132,0.049,0.025,0.35,0.02506377788900678
28,B29,0.63,0.14,0.049,0.0175,0.355,0.030123126894680236
29,B30,0.63,0.14,0.0615,0.0175,0.35,0.024992496576914366
30,B31,0.63,0.16399999999999998,0.051,0.022000000000000002,0.33,0.029554749887060597
31,B32,0.63,0.14,0.042,0.0175,0.35,0.02461849702834525
32,B33,0.63,0.16399999999999998,0.0645,0.025,0.355,0.03139666995201972
33,B34,0.63,0.152,0.054000000000000006,0.025,0.32,0.029518779628064117
